Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
FAM153C	-6.07890261	-1.06200136	-1.75479074	Autosome	Autosome
FAM154A	-6.0802179	-2.1460155	-3.88744825	Autosome	Autosome
FAM154B	-6.15557889	-1.83363275	-2.77345687	Autosome	Autosome
FAM155A	-1.32087941	-0.09350687	-0.66494504	Autosome	Autosome
FAM159A	-6.17267305	-0.70643242	-1.61861132	Autosome	Autosome
FAM160A1	-6.05714588	-1.83184975	-2.69379239	Autosome	Autosome
FAM160A2	-1.15897391	-0.21965798	-0.72560497	Autosome	Autosome
FAM160B1	-0.98139365	-0.06349269	-0.39482957	Autosome	Autosome
FAM160B2	-5.68427061	-1.51734296	-2.08194772	Autosome	Autosome
FAM161A	-6.00297692	-2.03656703	-3.05324225	Autosome	Autosome
FAM161B	-6.11129264	-2.13317211	-3.2225326	Autosome	Autosome
FAM162A	-6.16330624	-2.28489616	-3.97170067	Autosome	Autosome
FAM162B	-6.15451818	-2.09727479	-4.42030878	Autosome	Autosome
FAM163A	-6.16584198	-0.7204617	-1.67401555	Autosome	Autosome
FAM166A	-6.11357812	-2.09113371	-3.96718765	Autosome	Autosome
FAM166B	-6.09766451	-1.66908156	-2.38834406	Autosome	Autosome
FAM167A	-6.1743638	-1.80603608	-2.98590985	Autosome	Autosome
FAM167B	-6.15911452	-1.73159718	-2.88921146	Autosome	Autosome
FAM168A	-1.47918459	-0.09217144	-0.66556086	Autosome	Autosome
FAM168B	-5.78294458	-0.44698195	-1.40643181	Autosome	Autosome
FAM169A	-1.51044522	-0.49110624	-1.04441655	Autosome	Autosome
FAM169B	-5.41244414	-0.2839671	-1.32084175	Autosome	Autosome
FAM170B	-6.21535974	-2.11271819	-3.73518097	Autosome	Autosome
FAM171A1	-1.2772777	-0.26266132	-0.7901748	Autosome	Autosome
FAM171B	-1.89284259	-0.89925783	-1.3854587	Autosome	Autosome
FAM172A	-5.63758606	-1.4011163	-1.9799016	Autosome	Autosome
FAM173B	-6.07876109	-2.05346556	-3.33361573	Autosome	Autosome
FAM174A	-6.22932995	-2.48674571	-4.05051414	Autosome	Autosome
FAM174B	-6.17273384	-1.97166801	-4.45141428	Autosome	Autosome
FAM175A	-6.07648119	-1.91881724	-2.85135151	Autosome	Autosome
FAM175B	-5.58309232	-1.32905655	-1.90117522	Autosome	Autosome
FAM177A1	-6.17894673	-1.90332656	-3.01444937	Autosome	Autosome
FAM177B	-6.17450454	-2.00004143	-3.08880257	Autosome	Autosome
FAM178A	-2.30467587	-1.37556443	-1.70226419	Autosome	Autosome
FAM178B	-5.45504934	-1.2864743	-1.99582443	Autosome	Autosome
FAM179A	-6.03529309	-2.08250462	-3.33815409	Autosome	Autosome
FAM179B	-1.99546482	-1.40334164	-1.6575943	Autosome	Autosome
FAM180A	-4.47091946	-0.00276795	-0.90254306	Autosome	Autosome
FAM181A	-5.45678133	-0.33439756	-1.33385118	Autosome	Autosome
FAM182B	-6.21802046	-0.375785	-1.47520595	Autosome	Autosome
FAM183A	-4.74592571	-0.00653914	-0.90651454	Autosome	Autosome
FAM184A	-5.9853381	-2.07628996	-3.31440106	Autosome	Autosome
FAM184B	-4.99881153	-1.43570063	-1.99377824	Autosome	Autosome
FAM186B	-6.13784237	-2.20483266	-3.49815477	Autosome	Autosome
FAM188A	-5.14029347	-1.23439639	-1.82175788	Autosome	Autosome
FAM188B	-6.03541493	-2.1143866	-3.49023778	Autosome	Autosome
FAM189A2	-5.5009527	-1.36538004	-1.94734585	Autosome	Autosome
FAM189B	-6.02639674	-2.06443189	-3.26973435	Autosome	Autosome
FAM192A	-2.50623402	-0.71781246	-1.446476	Autosome	Autosome
FAM193A	-6.00077604	-2.06717081	-3.3934476	Autosome	Autosome
FAM193B	-1.57381928	-0.5107083	-1.07281296	Autosome	Autosome
FAM194A	-6.04306387	-2.26744739	-3.27034552	Autosome	Autosome
FAM194B	-6.18725049	-2.28458225	-3.6427898	Autosome	Autosome
FAM195A	-6.19426289	-0.75200959	-1.67110553	Autosome	Autosome
FAM196A	-1.35307454	-0.0912632	-0.67873696	Autosome	Autosome
FAM196B	-2.15712049	-0.29819567	-1.18305816	Autosome	Autosome
FAM198B	-6.05003222	-1.96744292	-2.92668334	Autosome	Autosome
FAM19A1	-1.84275096	-0.03647856	-0.78136129	Autosome	Autosome
FAM19A2	-1.84234972	-0.03400163	-0.76462106	Autosome	Autosome
FAM19A3	-6.13492333	-1.79911995	-3.41603132	Autosome	Autosome
FAM19A4	-6.11956488	-1.59756809	-2.39971275	Autosome	Autosome
FAM19A5	-5.45344668	-0.01413486	-0.97607104	Autosome	Autosome
FAM204A	-5.79854023	-1.25264327	-1.85235374	Autosome	Autosome
FAM205A	-1.26166605	-0.09430893	-0.54891355	Autosome	Autosome
FAM206A	-6.13865103	-2.07424175	-3.4913271	Autosome	Autosome
FAM207A	-6.19340338	-1.91439792	-3.35925691	Autosome	Autosome
