gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:10499	187	7	10
HGNC:105	36	1	4
HGNC:1050	137	3	9
HGNC:10500	67	1	4
HGNC:10504	13	0	1
HGNC:1051	45	2	7
HGNC:10513	94	4	9
HGNC:10514	5	0	1
HGNC:10516	5	0	1
HGNC:10518	33	1	4
HGNC:10519	14	0	1
HGNC:1052	140	6	10
HGNC:10520	75	0	1
HGNC:10521	38	1	4
HGNC:10522	41	0	1
HGNC:10524	137	6	10
HGNC:10526	95	2	7
HGNC:10527	50	0	1
HGNC:10528	61	2	7
HGNC:1053	29	1	4
HGNC:10530	80	1	4
HGNC:10532	78	1	4
HGNC:10534	54	2	7
HGNC:10535	60	3	9
HGNC:10536	16	0	1
HGNC:10537	104	2	7
HGNC:10538	69	3	9
HGNC:10539	10	0	1
HGNC:1054	57	3	9
HGNC:10541	71	1	4
HGNC:10542	39	2	7
HGNC:10545	20	1	4
HGNC:10547	13	1	4
HGNC:10548	86	1	4
HGNC:10549	26	2	7
HGNC:1055	9	0	1
HGNC:10555	76	1	4
HGNC:10560	43	0	1
HGNC:10563	20	0	1
HGNC:10564	16	0	1
HGNC:10565	16	0	1
HGNC:10566	62	0	1
HGNC:10569	126	2	7
HGNC:1057	152	6	10
HGNC:10570	59	1	4
HGNC:10571	34	0	1
HGNC:10573	40	0	1
HGNC:10575	89	0	1
HGNC:10576	16	0	1
HGNC:10577	59	3	9
HGNC:1058	141	2	7
HGNC:10582	44	1	4
HGNC:10583	32	0	1
HGNC:10585	39	1	4
HGNC:10586	87	3	9
HGNC:10588	46	0	1
HGNC:10589	49	1	4
HGNC:1059	29	0	1
HGNC:10590	27	0	1
HGNC:10591	30	1	4
HGNC:10592	40	1	4
HGNC:10593	68	1	4
HGNC:10594	41	2	7
HGNC:10597	37	0	1
HGNC:10599	27	1	4
HGNC:1060	65	4	9
HGNC:10600	82	3	9
HGNC:10601	18	0	1
HGNC:10602	42	1	4
HGNC:10603	24	1	4
HGNC:10604	40	3	9
HGNC:10606	71	3	9
HGNC:10607	96	1	4
HGNC:10608	54	1	4
HGNC:10609	110	5	10
HGNC:10610	179	7	10
HGNC:10611	88	3	9
HGNC:10612	80	3	9
HGNC:10613	78	3	9
HGNC:10614	62	2	7
HGNC:10615	75	2	7
HGNC:10616	62	2	7
HGNC:10617	250	8	10
HGNC:10618	208	6	10
HGNC:10619	74	2	7
HGNC:1062	19	1	4
HGNC:10620	235	6	10
HGNC:10621	62	2	7
HGNC:10622	84	4	10
HGNC:10623	124	3	9
HGNC:10624	76	3	9
HGNC:10625	99	3	9
HGNC:10626	52	0	1
HGNC:10627	205	6	10
HGNC:1063	19	1	4
HGNC:10630	89	4	10
HGNC:10632	245	8	10
HGNC:10634	101	3	9
HGNC:10635	137	4	10
HGNC:10637	214	4	10
HGNC:10638	86	3	9
HGNC:10639	129	7	10
HGNC:10640	61	0	1
HGNC:10642	48	2	7
HGNC:10643	66	2	7
HGNC:10645	211	9	10
HGNC:10646	78	2	7
HGNC:10647	307	8	10
HGNC:10648	97	1	4
HGNC:1065	24	1	4
HGNC:10658	84	2	7
HGNC:10659	44	1	4
HGNC:1066	115	1	4
HGNC:10660	8	0	1
HGNC:10661	153	3	9
HGNC:10662	247	6	10
HGNC:10663	71	2	7
HGNC:10664	27	1	4
HGNC:10666	10	1	4
HGNC:10667	54	2	7
HGNC:10668	11	0	1
HGNC:10669	63	1	4
HGNC:1067	39	1	4
HGNC:10671	45	2	7
HGNC:10672	208	7	10
HGNC:10675	2	0	1
HGNC:10676	42	0	1
HGNC:10680	20	1	4
HGNC:10681	11	1	4
