gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:1705	182	5	10
HGNC:17050	29	2	8
HGNC:17052	30	1	5
HGNC:17053	0	0	1
HGNC:17054	140	5	10
HGNC:17056	34	0	1
HGNC:17057	151	4	10
HGNC:17058	6	0	1
HGNC:17059	17	2	8
HGNC:1706	34	2	8
HGNC:17060	52	2	8
HGNC:17061	28	0	1
HGNC:17062	77	2	8
HGNC:17063	141	4	10
HGNC:17064	31	0	1
HGNC:17066	80	1	5
HGNC:17067	49	1	5
HGNC:17068	53	2	8
HGNC:17069	15	0	1
HGNC:1707	23	1	5
HGNC:17070	149	5	10
HGNC:17071	117	1	5
HGNC:17072	97	0	1
HGNC:17073	31	1	5
HGNC:17074	113	2	8
HGNC:17075	100	1	5
HGNC:17077	55	1	5
HGNC:17078	146	8	10
HGNC:17079	66	1	5
HGNC:1708	10	1	5
HGNC:17082	45	0	1
HGNC:17083	82	2	8
HGNC:17084	60	3	9
HGNC:17085	28	1	5
HGNC:17086	19	0	1
HGNC:17087	52	2	8
HGNC:17088	111	6	10
HGNC:17089	32	2	8
HGNC:1709	85	4	10
HGNC:17090	46	1	5
HGNC:17091	118	1	5
HGNC:17094	39	2	8
HGNC:17095	39	1	5
HGNC:17097	55	3	9
HGNC:17098	145	4	10
HGNC:171	214	6	10
HGNC:17101	103	2	8
HGNC:17102	23	1	5
HGNC:17103	23	1	5
HGNC:17104	146	4	10
HGNC:17105	13	0	1
HGNC:17106	6	0	1
HGNC:17107	15	0	1
HGNC:17108	55	2	8
HGNC:17109	12	0	1
HGNC:1711	20	2	8
HGNC:17110	48	2	8
HGNC:17111	9	0	1
HGNC:17113	113	2	8
HGNC:17116	46	1	5
HGNC:17117	60	1	5
HGNC:17118	0	0	1
HGNC:17119	102	2	8
HGNC:1712	80	3	9
HGNC:17127	13	0	1
HGNC:17128	32	2	8
HGNC:17129	36	1	5
HGNC:1713	41	0	1
HGNC:17133	53	0	1
HGNC:17134	0	0	1
HGNC:17135	10	0	1
HGNC:17136	23	1	5
HGNC:17142	93	2	8
HGNC:17144	41	2	8
HGNC:17145	105	3	9
HGNC:17146	103	1	5
HGNC:17147	66	3	9
HGNC:17148	50	2	8
HGNC:17149	0	0	1
HGNC:17150	53	1	5
HGNC:17151	27	1	5
HGNC:17153	18	0	1
HGNC:17155	29	0	1
HGNC:17156	63	1	5
HGNC:17157	37	1	5
HGNC:17158	39	0	1
HGNC:17160	66	4	10
HGNC:17162	46	1	5
HGNC:17163	28	0	1
HGNC:17164	45	0	1
HGNC:17165	74	3	9
HGNC:17166	15	0	1
HGNC:17167	33	0	1
HGNC:17168	92	3	9
HGNC:1717	59	3	9
HGNC:17170	65	1	5
HGNC:17171	24	1	5
HGNC:17173	55	2	8
HGNC:17174	23	0	1
HGNC:17175	120	6	10
HGNC:17176	1	0	1
HGNC:17177	96	2	8
HGNC:17178	48	0	1
HGNC:17179	4	0	1
HGNC:1718	52	3	9
HGNC:17180	44	0	1
HGNC:17181	27	0	1
HGNC:17182	27	0	1
HGNC:17183	27	0	1
HGNC:17185	27	0	1
HGNC:17187	83	2	8
HGNC:17189	32	0	1
HGNC:1719	87	4	10
HGNC:17190	25	1	5
HGNC:17192	215	3	9
HGNC:17194	166	4	10
HGNC:17195	29	2	8
HGNC:17196	63	2	8
HGNC:17197	66	1	5
HGNC:17198	58	1	5
HGNC:17199	1	0	1
HGNC:172	154	4	10
HGNC:1720	58	2	8
HGNC:17200	29	0	1
HGNC:17202	0	0	1
HGNC:17205	1	0	1
HGNC:17206	0	0	1
HGNC:17208	36	1	5
HGNC:17209	103	1	5
HGNC:17210	47	2	8
HGNC:17211	19	0	1
HGNC:17213	28	0	1
HGNC:17216	6	0	1
HGNC:17217	96	3	9
HGNC:1722	195	10	10
HGNC:17223	61	1	5
HGNC:17224	60	1	5
HGNC:17228	39	2	8
HGNC:17229	27	1	5
HGNC:1723	124	4	10
HGNC:17230	3	0	1
HGNC:17231	0	0	1
HGNC:17233	32	1	5
HGNC:17234	0	0	1
HGNC:1724	63	3	9
HGNC:17241	120	3	9
HGNC:17245	9	0	1
HGNC:1725	59	3	9
HGNC:17255	39	1	5
HGNC:17256	1	0	1
HGNC:17257	109	2	8
HGNC:17258	94	3	9
HGNC:17259	49	2	8
HGNC:1726	90	3	9
HGNC:17260	52	1	5
HGNC:17261	0	0	1
HGNC:17262	103	2	8
HGNC:17264	46	0	1
HGNC:17265	41	2	8
HGNC:17267	18	0	1
HGNC:17268	19	0	1
HGNC:17269	29	2	8
HGNC:1727	73	3	9
HGNC:17270	109	2	8
HGNC:17271	35	1	5
HGNC:17272	115	2	8
HGNC:17273	27	0	1
HGNC:17274	92	2	8
HGNC:17276	21	1	5
HGNC:17277	0	0	1
HGNC:17278	0	0	1
HGNC:17279	48	1	5
HGNC:1728	58	2	8
HGNC:17280	55	0	1
HGNC:17281	50	1	5
HGNC:17282	120	3	9
HGNC:17283	100	3	9
HGNC:17284	103	3	9
HGNC:17286	21	1	5
HGNC:17287	91	2	8
HGNC:17288	92	2	8
HGNC:17289	21	0	1
HGNC:1729	74	1	5
HGNC:17290	119	4	10
HGNC:17291	35	1	5
HGNC:17292	49	1	5
HGNC:17293	207	6	10
HGNC:17294	297	8	10
HGNC:17295	0	0	1
HGNC:17296	83	2	8
HGNC:17297	88	2	8
HGNC:17298	62	0	1
HGNC:17299	50	2	8
HGNC:173	159	4	10
HGNC:1730	74	1	5
HGNC:17300	59	0	1
HGNC:17302	43	2	8
HGNC:17303	77	2	8
HGNC:17304	81	1	5
HGNC:17305	87	1	5
HGNC:17307	65	2	8
HGNC:17311	89	2	8
HGNC:17312	30	2	8
HGNC:17313	52	3	9
HGNC:17315	30	2	8
HGNC:17316	30	2	8
HGNC:17317	32	2	8
HGNC:17318	32	2	8
HGNC:17321	81	1	5
HGNC:17325	16	0	1
HGNC:17326	44	1	5
HGNC:17327	137	2	8
HGNC:17328	187	6	10
HGNC:17329	111	2	8
HGNC:1733	114	2	8
HGNC:17330	12	1	5
HGNC:17333	12	0	1
HGNC:17337	6	1	5
HGNC:1734	99	3	9
HGNC:17340	48	1	5
HGNC:17341	18	0	1
HGNC:17343	54	2	8
HGNC:17344	21	1	5
HGNC:17345	32	1	5
HGNC:17346	30	0	1
HGNC:17347	34	1	5
HGNC:17348	27	1	5
HGNC:17349	19	0	1
HGNC:1735	108	3	9
HGNC:17350	19	0	1
HGNC:17351	51	2	8
HGNC:17352	51	2	8
HGNC:17353	51	2	8
HGNC:17354	51	2	8
HGNC:17356	56	2	8
HGNC:17357	56	2	8
HGNC:17358	25	1	5
HGNC:17359	41	1	5
HGNC:1736	272	13	10
HGNC:17360	17	1	5
HGNC:17361	155	6	10
HGNC:17362	127	4	10
HGNC:17363	77	1	5
HGNC:17364	76	0	1
HGNC:17366	105	1	5
HGNC:17367	111	2	8
HGNC:17368	13	0	1
HGNC:17369	89	2	8
HGNC:1737	41	1	5
HGNC:17371	65	1	5
HGNC:17372	11	1	5
HGNC:17376	40	2	8
HGNC:17377	18	1	5
HGNC:17378	51	1	5
HGNC:17379	23	1	5
HGNC:1738	41	1	5
HGNC:17380	58	2	8
HGNC:17381	64	3	9
HGNC:17382	25	0	1
HGNC:17383	57	2	8
HGNC:17384	123	2	8
HGNC:17389	40	1	5
HGNC:1739	87	2	8
HGNC:17393	118	1	5
HGNC:17397	31	1	5
HGNC:17399	19	1	5
HGNC:174	186	3	9
HGNC:17408	52	3	9
HGNC:17409	50	0	1
HGNC:17410	22	2	8
HGNC:17412	130	5	10
HGNC:17416	90	4	10
HGNC:17419	74	1	5
HGNC:1742	4	0	1
HGNC:17422	81	3	9
HGNC:17423	20	0	1
HGNC:17425	11	1	5
HGNC:17427	91	2	8
HGNC:17428	21	2	8
HGNC:17429	1	0	1
HGNC:1743	79	2	8
HGNC:17432	38	1	5
HGNC:17433	194	5	10
HGNC:17435	26	2	8
HGNC:17438	74	2	8
HGNC:1744	120	2	8
HGNC:17440	58	1	5
HGNC:17441	102	1	5
HGNC:17442	0	0	1
HGNC:17443	56	1	5
HGNC:17447	66	2	8
HGNC:17448	45	1	5
HGNC:17449	28	1	5
HGNC:1745	69	3	9
HGNC:17450	6	0	1
HGNC:17452	11	0	1
HGNC:17453	18	0	1
HGNC:17466	6	0	1
HGNC:17468	60	3	9
HGNC:17470	118	1	5
HGNC:17474	39	2	8
HGNC:17479	80	2	8
HGNC:1748	176	4	10
HGNC:17481	66	0	1
HGNC:17482	22	1	5
HGNC:17485	107	2	8
HGNC:1749	14	1	5
HGNC:17493	83	1	5
HGNC:17494	103	1	5
HGNC:17495	18	0	1
HGNC:17496	43	1	5
HGNC:17497	0	0	1
HGNC:17499	41	0	1
HGNC:175	204	6	10
HGNC:1750	53	3	9
HGNC:17500	37	2	8
HGNC:17509	11	0	1
HGNC:1751	14	1	5
HGNC:17512	90	2	8
HGNC:17513	65	1	5
HGNC:17514	65	1	5
HGNC:17521	117	3	9
HGNC:1753	152	4	10
HGNC:17537	12	0	1
HGNC:17539	81	2	8
HGNC:1754	5	1	5
HGNC:17546	102	1	5
HGNC:1755	5	1	5
HGNC:17550	63	1	5
HGNC:17553	21	0	1
HGNC:17556	65	1	5
HGNC:17557	55	1	5
HGNC:17558	26	0	1
HGNC:1756	58	4	10
HGNC:17562	33	0	1
HGNC:17563	191	7	10
HGNC:17565	115	2	8
HGNC:17567	1	0	1
HGNC:1757	14	1	5
HGNC:17572	6	1	5
HGNC:17574	32	0	1
HGNC:17575	94	2	8
HGNC:17579	35	3	9
HGNC:1758	14	1	5
HGNC:17581	50	0	1
HGNC:17582	99	3	9
HGNC:17585	42	1	5
HGNC:17586	73	1	5
HGNC:17587	23	0	1
HGNC:17589	42	2	8
HGNC:1759	133	3	9
HGNC:17590	15	0	1
HGNC:17591	10	1	5
HGNC:17592	176	5	10
HGNC:17597	38	1	5
HGNC:17598	109	3	9
HGNC:1760	14	1	5
HGNC:17601	5	1	5
HGNC:17609	66	0	1
HGNC:17613	68	1	5
HGNC:17615	83	1	5
HGNC:17616	48	2	8
HGNC:17617	11	1	5
HGNC:17619	52	3	9
HGNC:1762	104	4	10
HGNC:17620	170	6	10
HGNC:17623	70	1	5
HGNC:1763	67	3	9
HGNC:17631	37	0	1
HGNC:17634	0	0	1
HGNC:17635	108	3	9
HGNC:17637	66	1	5
HGNC:1764	187	5	10
HGNC:17641	30	1	5
HGNC:17642	51	3	9
HGNC:17643	47	2	8
HGNC:17644	109	3	9
HGNC:17646	37	0	1
HGNC:17648	23	0	1
HGNC:17649	17	0	1
HGNC:1765	23	1	5
HGNC:17650	121	3	9
HGNC:17655	45	2	8
HGNC:1766	14	1	5
HGNC:17660	32	2	8
HGNC:17661	15	0	1
HGNC:17662	59	1	5
HGNC:17663	39	1	5
HGNC:17664	37	2	8
HGNC:1767	29	1	5
HGNC:17675	49	0	1
HGNC:17676	149	3	9
HGNC:17677	38	0	1
HGNC:17679	86	4	10
HGNC:1768	14	1	5
HGNC:17680	65	1	5
HGNC:17684	9	1	5
HGNC:17686	78	0	1
HGNC:17687	21	1	5
HGNC:17688	21	1	5
HGNC:17689	21	1	5
HGNC:1769	16	1	5
HGNC:17692	68	1	5
HGNC:17693	46	3	9
HGNC:17697	42	1	5
HGNC:17699	30	1	5
HGNC:177	12	0	1
HGNC:1770	78	2	8
HGNC:17700	58	2	8
HGNC:17702	27	2	8
HGNC:17704	21	0	1
HGNC:17705	24	1	5
HGNC:1771	167	7	10
HGNC:17710	23	1	5
HGNC:17712	85	2	8
HGNC:17715	0	0	1
HGNC:17717	119	3	9
HGNC:17718	17	0	1
HGNC:17719	30	1	5
HGNC:1772	36	1	5
HGNC:17720	64	3	9
HGNC:17721	1	0	1
HGNC:17722	107	2	8
HGNC:17726	31	0	1
HGNC:17728	14	1	5
HGNC:17729	26	0	1
HGNC:1773	133	3	9
HGNC:17731	19	0	1
HGNC:17732	82	1	5
HGNC:17733	0	0	1
HGNC:17734	11	1	5
HGNC:17735	10	0	1
HGNC:17736	162	5	10
HGNC:1774	341	10	10
HGNC:17748	165	3	9
HGNC:1775	266	8	10
HGNC:17751	0	0	1
HGNC:17752	1	0	1
HGNC:17753	36	0	1
HGNC:17754	9	1	5
HGNC:17755	41	3	9
HGNC:17759	14	0	1
HGNC:1776	92	1	5
HGNC:17760	37	1	5
HGNC:17761	335	11	10
HGNC:17765	42	1	5
HGNC:17768	87	3	9
HGNC:1777	162	5	10
HGNC:17770	23	1	5
HGNC:17772	27	0	1
HGNC:17777	18	0	1
HGNC:1778	98	3	9
HGNC:17780	41	1	5
HGNC:17781	69	1	5
HGNC:17785	19	0	1
HGNC:17787	48	1	5
HGNC:17788	34	0	1
HGNC:17789	41	0	1
HGNC:1779	24	0	1
HGNC:17791	39	0	1
HGNC:17792	34	2	8
HGNC:17793	44	2	8
HGNC:17794	86	2	8
HGNC:17795	108	1	5
HGNC:17796	39	0	1
HGNC:17797	71	0	1
HGNC:17798	34	0	1
HGNC:1780	148	3	9
HGNC:17800	43	1	5
HGNC:17801	50	0	1
HGNC:17804	29	0	1
HGNC:17806	0	0	1
HGNC:17807	53	1	5
HGNC:17808	65	1	5
HGNC:17809	98	2	8
HGNC:1781	39	1	5
HGNC:17811	48	0	1
HGNC:17812	48	0	1
HGNC:17813	21	1	5
HGNC:17814	72	2	8
HGNC:17817	13	0	1
HGNC:17818	40	2	8
HGNC:17819	41	2	8
HGNC:1782	33	1	5
HGNC:17820	51	2	8
HGNC:17821	38	0	1
HGNC:17822	78	0	1
HGNC:17823	1	0	1
HGNC:17824	17	0	1
HGNC:17825	50	1	5
HGNC:17826	23	1	5
HGNC:17827	27	0	1
HGNC:17829	24	0	1
HGNC:17830	7	0	1
HGNC:17836	12	1	5
HGNC:17838	39	1	5
HGNC:17839	54	2	8
HGNC:1784	186	5	10
HGNC:17840	1	0	1
HGNC:17841	0	0	1
HGNC:17842	50	0	1
HGNC:17843	29	1	5
HGNC:17844	18	0	1
HGNC:17845	41	1	5
HGNC:17846	34	1	5
HGNC:17847	71	2	8
HGNC:17848	32	1	5
HGNC:17849	85	2	8
HGNC:1785	227	7	10
HGNC:17850	112	3	9
HGNC:17851	24	0	1
HGNC:17852	29	2	8
HGNC:17853	84	3	9
HGNC:17854	63	2	8
HGNC:17855	19	0	1
HGNC:17856	40	1	5
HGNC:17857	21	0	1
HGNC:17858	35	2	8
HGNC:17859	23	1	5
HGNC:1786	190	8	10
HGNC:17860	50	1	5
HGNC:17861	122	2	8
HGNC:17862	18	1	5
HGNC:17865	67	0	1
HGNC:17866	25	1	5
HGNC:17867	178	4	10
HGNC:17868	159	4	10
HGNC:17869	28	1	5
HGNC:1787	269	11	10
HGNC:17870	25	0	1
HGNC:17871	45	1	5
HGNC:17872	29	1	5
HGNC:17874	25	0	1
HGNC:17875	47	1	5
HGNC:17877	43	1	5
HGNC:17879	0	0	1
HGNC:1788	127	4	10
HGNC:17880	98	2	8
HGNC:17881	7	0	1
HGNC:17882	19	0	1
HGNC:17883	80	0	1
HGNC:17884	0	0	1
HGNC:17885	37	1	5
HGNC:17886	19	0	1
HGNC:17887	8	0	1
HGNC:17888	51	1	5
HGNC:1789	80	3	9
HGNC:17890	48	1	5
HGNC:17893	30	1	5
HGNC:17894	17	0	1
HGNC:17895	79	2	8
HGNC:17896	111	3	9
HGNC:17897	29	1	5
HGNC:17898	40	2	8
HGNC:17899	36	2	8
HGNC:179	6	0	1
HGNC:1790	137	3	9
HGNC:17902	0	0	1
HGNC:17903	65	1	5
HGNC:17904	93	3	9
HGNC:17905	89	2	8
HGNC:17906	0	0	1
HGNC:17907	0	0	1
HGNC:17908	50	0	1
HGNC:17909	94	2	8
HGNC:1791	52	1	5
HGNC:17910	9	0	1
HGNC:17911	109	4	10
HGNC:17916	81	2	8
HGNC:17920	61	0	1
HGNC:17921	100	2	8
HGNC:17922	50	0	1
HGNC:17923	87	1	5
HGNC:17925	100	4	10
HGNC:17927	95	2	8
HGNC:17928	75	1	5
HGNC:17929	30	0	1
HGNC:17930	50	0	1
HGNC:17931	70	1	5
HGNC:17932	104	2	8
HGNC:17933	112	4	10
HGNC:17934	187	7	10
HGNC:17935	12	0	1
HGNC:17936	12	1	5
HGNC:17937	15	2	8
HGNC:17938	75	2	8
HGNC:17939	11	1	5
HGNC:17940	86	2	8
HGNC:17941	17	2	8
HGNC:17943	87	2	8
HGNC:17944	89	3	9
HGNC:17945	46	4	10
HGNC:17946	23	1	5
HGNC:17947	34	0	1
HGNC:17948	81	2	8
HGNC:17949	6	1	5
HGNC:1795	48	2	8
HGNC:17950	22	1	5
HGNC:17955	141	3	9
HGNC:17956	41	1	5
HGNC:17958	0	0	1
HGNC:17961	54	1	5
HGNC:17962	20	1	5
HGNC:17964	20	1	5
HGNC:17966	24	2	8
HGNC:17967	71	1	5
HGNC:17968	32	0	1
HGNC:17969	30	2	8
HGNC:17970	88	2	8
HGNC:17971	61	1	5
HGNC:17972	30	1	5
HGNC:17973	42	1	5
HGNC:17975	38	1	5
HGNC:17976	49	3	9
HGNC:17978	23	0	1
HGNC:17980	11	1	5
HGNC:17981	17	0	1
HGNC:17983	37	3	9
HGNC:17985	64	2	8
HGNC:17989	37	1	5
HGNC:1799	0	0	1
HGNC:17990	19	1	5
HGNC:17992	28	0	1
HGNC:17993	173	4	10
HGNC:17994	60	2	8
HGNC:17995	39	0	1
HGNC:17996	21	0	1
HGNC:17997	31	0	1
HGNC:17999	37	1	5
HGNC:18	40	0	1
HGNC:180	6	0	1
HGNC:1800	50	2	8
HGNC:18000	68	0	1
HGNC:18001	30	2	8
HGNC:18002	46	2	8
HGNC:18003	85	2	8
HGNC:18005	0	0	1
HGNC:18006	34	1	5
HGNC:18007	57	0	1
HGNC:18008	69	0	1
HGNC:1801	27	2	8
HGNC:18010	6	0	1
HGNC:18012	40	2	8
HGNC:18015	26	2	8
HGNC:18016	48	2	8
HGNC:18017	31	0	1
HGNC:18018	0	0	1
HGNC:18019	0	0	1
HGNC:1802	32	1	5
HGNC:18020	10	0	1
HGNC:18021	8	0	1
HGNC:18022	126	1	5
HGNC:18024	0	0	1
HGNC:18025	15	1	5
HGNC:18026	28	0	1
HGNC:18027	38	0	1
HGNC:18028	19	0	1
HGNC:18035	29	1	5
HGNC:18036	0	0	1
HGNC:18037	111	2	8
HGNC:18038	11	1	5
HGNC:18039	155	5	10
HGNC:1804	20	1	5
HGNC:18040	94	1	5
HGNC:18041	61	0	1
HGNC:18042	104	2	8
HGNC:18043	27	0	1
HGNC:18044	109	3	9
HGNC:18047	53	1	5
HGNC:18049	42	1	5
HGNC:1805	86	2	8
HGNC:18052	29	1	5
HGNC:18053	27	1	5
HGNC:18054	12	1	5
HGNC:18055	23	1	5
HGNC:18056	101	2	8
HGNC:18057	9	0	1
HGNC:18058	51	2	8
HGNC:1806	125	4	10
HGNC:18061	7	1	5
HGNC:18062	17	0	1
HGNC:18063	0	0	1
HGNC:18064	36	0	1
HGNC:18065	14	1	5
HGNC:18066	10	1	5
HGNC:18067	11	1	5
HGNC:18068	54	1	5
HGNC:18069	46	1	5
HGNC:18071	60	1	5
HGNC:18072	86	2	8
HGNC:18075	26	0	1
HGNC:18076	19	0	1
HGNC:18077	73	3	9
HGNC:18078	166	5	10
HGNC:18079	50	0	1
HGNC:18080	34	0	1
HGNC:18081	35	0	1
HGNC:18082	101	3	9
HGNC:18083	241	9	10
HGNC:18084	47	1	5
HGNC:18085	46	1	5
HGNC:18086	14	0	1
HGNC:18087	14	0	1
HGNC:18088	14	0	1
HGNC:18091	14	0	1
HGNC:18093	14	0	1
HGNC:18094	14	0	1
HGNC:18095	107	1	5
HGNC:18096	14	0	1
HGNC:18097	14	0	1
HGNC:18099	14	0	1
HGNC:18101	14	0	1
HGNC:18103	14	0	1
HGNC:18104	76	1	5
HGNC:18105	14	0	1
HGNC:18106	15	0	1
HGNC:18107	23	0	1
HGNC:18108	14	0	1
HGNC:1811	92	2	8
HGNC:18111	5	0	1
HGNC:18113	22	1	5
HGNC:18114	30	0	1
HGNC:18115	32	0	1
HGNC:18116	146	3	9
HGNC:18117	30	0	1
HGNC:18118	95	4	10
HGNC:18119	25	1	5
HGNC:18120	14	0	1
HGNC:18121	24	1	5
HGNC:18122	173	5	10
HGNC:18123	150	4	10
HGNC:18124	139	6	10
HGNC:18125	25	1	5
HGNC:18126	69	0	1
HGNC:18127	20	1	5
HGNC:18128	102	4	10
HGNC:18129	269	10	10
HGNC:18130	30	2	8
HGNC:18131	40	0	1
HGNC:18132	47	2	8
HGNC:18133	129	2	8
HGNC:18136	112	2	8
HGNC:18137	22	0	1
HGNC:18138	37	3	9
HGNC:1814	237	9	10
HGNC:18140	32	0	1
HGNC:18141	75	2	8
HGNC:18142	35	0	1
HGNC:18143	56	1	5
HGNC:18144	19	0	1
HGNC:18149	21	1	5
HGNC:1815	0	0	1
HGNC:18150	24	0	1
HGNC:18152	53	2	8
HGNC:18153	40	1	5
HGNC:18154	52	0	1
HGNC:18155	17	0	1
HGNC:18156	48	0	1
HGNC:18157	102	2	8
HGNC:1816	6	0	1
HGNC:18160	76	1	5
HGNC:18161	16	0	1
HGNC:18163	98	4	10
HGNC:18165	105	3	9
HGNC:18167	8	0	1
HGNC:18168	57	2	8
HGNC:18169	40	2	8
HGNC:1817	28	1	5
HGNC:18170	33	1	5
HGNC:18171	70	4	10
HGNC:18173	72	1	5
HGNC:18175	20	1	5
HGNC:18177	1	0	1
HGNC:18178	111	4	10
HGNC:18179	63	2	8
HGNC:1818	47	1	5
HGNC:18180	15	0	1
HGNC:18181	21	0	1
HGNC:18182	63	3	9
HGNC:18183	0	0	1
HGNC:18184	44	0	1
HGNC:18185	133	5	10
HGNC:18187	9	0	1
HGNC:18188	41	1	5
HGNC:18189	68	3	9
HGNC:1819	0	0	1
HGNC:18190	50	0	1
HGNC:18191	18	1	5
HGNC:18193	48	2	8
HGNC:18194	94	2	8
HGNC:18196	123	1	5
HGNC:18197	1	0	1
HGNC:1820	8	1	5
HGNC:18200	1	0	1
HGNC:18206	8	0	1
HGNC:18210	15	1	5
HGNC:18211	18	1	5
HGNC:18212	17	0	1
HGNC:18215	21	2	8
HGNC:18216	22	0	1
HGNC:18219	35	0	1
HGNC:18222	53	0	1
HGNC:18224	68	0	1
HGNC:18229	60	1	5
HGNC:18231	34	2	8
HGNC:18232	33	0	1
HGNC:18233	131	2	8
HGNC:18234	24	1	5
HGNC:18235	7	0	1
HGNC:18238	61	0	1
HGNC:18239	37	1	5
HGNC:18241	123	3	9
HGNC:18242	184	6	10
HGNC:18243	8	0	1
HGNC:18246	13	0	1
HGNC:18247	30	0	1
HGNC:18248	63	0	1
HGNC:18249	69	1	5
HGNC:18250	86	2	8
HGNC:18251	0	0	1
HGNC:18253	100	2	8
HGNC:18254	87	3	9
HGNC:18258	5	1	5
HGNC:18259	77	1	5
HGNC:18260	59	0	1
HGNC:18261	103	2	8
HGNC:18262	32	1	5
HGNC:18263	97	3	9
HGNC:18264	45	1	5
HGNC:18265	12	0	1
HGNC:18266	35	1	5
HGNC:18267	23	0	1
HGNC:18268	52	1	5
HGNC:18269	19	1	5
HGNC:18270	31	1	5
HGNC:18271	47	1	5
HGNC:18272	20	0	1
HGNC:18273	112	2	8
HGNC:18274	30	2	8
HGNC:18275	26	1	5
HGNC:18276	44	3	9
HGNC:18277	27	2	8
HGNC:18278	41	1	5
HGNC:18279	21	1	5
HGNC:18280	34	0	1
HGNC:18281	19	1	5
HGNC:18282	95	2	8
HGNC:18284	36	0	1
HGNC:18285	34	0	1
HGNC:18286	70	1	5
HGNC:18287	59	4	10
HGNC:18290	14	0	1
HGNC:18291	129	5	10
HGNC:18292	26	0	1
HGNC:18294	25	0	1
HGNC:18296	50	2	8
HGNC:18297	71	0	1
HGNC:18301	26	2	8
HGNC:18302	28	1	5
HGNC:18303	39	1	5
HGNC:18304	34	1	5
HGNC:18306	26	0	1
HGNC:18309	27	2	8
HGNC:18311	24	0	1
HGNC:18312	16	0	1
HGNC:18313	28	1	5
HGNC:18314	52	3	9
HGNC:18315	78	3	9
HGNC:18316	91	1	5
HGNC:18317	0	0	1
HGNC:18318	134	3	9
HGNC:18319	8	0	1
HGNC:18320	50	0	1
HGNC:18324	34	1	5
HGNC:18325	0	0	1
HGNC:18326	0	0	1
HGNC:18327	19	0	1
HGNC:18328	0	0	1
HGNC:18329	3	0	1
HGNC:1833	213	10	10
HGNC:18331	0	0	1
HGNC:18332	0	0	1
HGNC:18333	0	0	1
HGNC:18334	0	0	1
HGNC:18335	0	0	1
HGNC:18336	1	0	1
HGNC:18337	23	1	5
HGNC:1834	212	9	10
HGNC:18340	74	4	10
HGNC:18341	138	2	8
HGNC:18344	47	1	5
HGNC:18345	63	1	5
HGNC:18348	155	3	9
HGNC:18349	51	2	8
HGNC:1835	97	2	8
HGNC:18351	36	0	1
HGNC:18352	0	0	1
HGNC:18355	28	0	1
HGNC:18356	51	2	8
HGNC:18357	19	1	5
HGNC:18358	21	1	5
HGNC:18359	89	3	9
HGNC:1836	102	1	5
HGNC:18360	29	2	8
HGNC:18362	19	0	1
HGNC:18363	175	5	10
HGNC:18364	30	0	1
HGNC:18365	33	1	5
HGNC:18367	23	1	5
HGNC:18368	42	1	5
HGNC:1837	117	6	10
HGNC:18370	64	2	8
HGNC:18371	53	2	8
HGNC:18373	80	1	5
HGNC:18374	22	0	1
HGNC:18379	25	0	1
HGNC:18380	0	0	1
HGNC:18381	48	0	1
HGNC:18384	32	1	5
HGNC:18386	0	0	1
HGNC:1839	48	1	5
HGNC:18391	0	0	1
HGNC:18394	0	0	1
HGNC:18395	0	0	1
HGNC:18396	0	0	1
HGNC:18398	46	1	5
HGNC:1840	78	4	10
HGNC:18401	119	2	8
HGNC:18402	74	2	8
HGNC:18407	18	0	1
HGNC:18410	65	1	5
HGNC:18411	66	1	5
HGNC:18412	103	3	9
HGNC:18413	53	0	1
HGNC:18414	23	1	5
HGNC:18415	115	1	5
HGNC:18416	41	1	5
HGNC:18418	17	0	1
HGNC:18420	178	7	10
HGNC:18421	106	3	9
HGNC:18423	40	1	5
HGNC:18424	120	4	10
HGNC:18429	16	1	5
HGNC:1843	16	1	5
HGNC:18430	7	0	1
HGNC:18431	28	0	1
HGNC:18432	30	0	1
HGNC:18435	60	0	1
HGNC:18437	148	5	10
HGNC:18439	21	1	5
HGNC:1844	0	0	1
HGNC:18441	13	1	5
HGNC:18442	9	0	1
HGNC:18443	63	2	8
HGNC:18444	77	2	8
HGNC:18445	4	0	1
HGNC:18448	71	3	9
HGNC:18449	9	0	1
HGNC:18451	16	0	1
HGNC:18452	33	1	5
HGNC:18453	60	1	5
HGNC:18454	48	1	5
HGNC:18455	80	4	10
HGNC:18458	0	0	1
HGNC:18459	93	4	10
HGNC:18463	103	2	8
HGNC:18464	21	0	1
HGNC:18466	27	1	5
HGNC:18468	0	0	1
HGNC:18469	100	2	8
HGNC:18470	74	2	8
HGNC:18471	42	1	5
HGNC:18472	51	0	1
HGNC:18474	59	2	8
HGNC:18476	98	2	8
HGNC:18477	49	2	8
HGNC:18479	29	2	8
HGNC:1848	76	3	9
HGNC:18481	44	2	8
HGNC:18483	25	1	5
HGNC:18484	18	1	5
HGNC:18485	23	1	5
HGNC:18486	4	1	5
HGNC:1850	75	6	10
HGNC:18503	24	0	1
HGNC:18504	14	0	1
HGNC:18505	55	0	1
HGNC:18506	123	2	8
HGNC:18507	14	1	5
HGNC:18508	11	0	1
HGNC:18509	15	0	1
HGNC:1851	30	2	8
HGNC:18510	16	1	5
HGNC:18512	15	0	1
HGNC:18513	97	3	9
HGNC:18514	87	4	10
HGNC:18517	48	1	5
